Source,Air_Temperature,Process_Temp,Rotational_Speed,Torque,Life_Consumed,Stress_Index,RUL,Is_Failure,Health_Status
AI4I,299.2284190881174,306.89915704049463,1559.2195878224336,43.187703445985335,0,0.47053832380452454,50,0,Warning
AI4I,296.7590794851687,307.72919125958765,1405.9903807237542,46.88968753653781,3,0.5054122335571338,49,0,Warning
AI4I,298.0185491692923,309.17586811849327,1509.3244452813888,49.23700956735938,5,0.5127348401326888,48,0,Warning
AI4I,299.1831728801619,308.5533516314479,1425.9939730550445,39.545598579905366,7,0.4787450063366766,47,0,Warning
AI4I,300.7090867358578,308.9541297211372,1400.229354594371,40.09745622196742,9,0.4858190592635022,46,0,Warning
AI4I,300.30442612949463,309.5196596562076,1424.6816561214773,41.85022748982297,11,0.4936165138111875,45,0,Warning
AI4I,297.7032300429755,309.01976593909876,1559.7060960019494,42.28933588574118,14,0.479013967880477,44,0,Warning
AI4I,296.2809336999292,308.7652228391069,1531.7589744252934,40.32782673204156,16,0.47250811142339066,43,0,Warning
AI4I,297.73387992364445,309.32648663047064,1656.1342032934197,28.430355759550757,18,0.41568792631155044,42,0,Warning
AI4I,299.7762760423159,311.09073514426984,1737.2554132952246,28.076718367414,21,0.4162426758216755,41,0,Warning
AI4I,299.11064425269836,308.7188662356874,1778.1581982367318,23.819547605245056,24,0.381570177658378,40,0,Warning
AI4I,300.2796755230178,309.21302183028587,1415.1657009283856,44.198535057539715,29,0.5022091234532395,39,0,Warning
AI4I,299.41787307642204,309.65865984005984,1334.163122232904,51.16947254906905,34,0.5407396342018992,38,0,Warning
AI4I,297.3009146163133,309.83346378969367,1726.1506463663654,30.12882685630052,37,0.4183771787296723,37,0,Warning
AI4I,299.4984461644374,310.8262019948307,2038.8065515320834,19.906068599914033,40,0.3518933449311945,36,0,Warning
AI4I,298.9021485400099,310.59038964466976,1544.8416019099254,48.573047717407235,42,0.5146102572196065,35,0,Warning
AI4I,298.146685942797,309.30788371747724,1323.080526932082,46.756993499476415,44,0.5221935425474247,34,0,Warning
AI4I,299.1711931743709,307.94713166460116,1417.2809670740785,45.78695666726827,47,0.5011176251879577,33,0,Warning
AI4I,299.1856358692997,311.41266715175726,1306.413132428347,54.76888504598619,50,0.5679351820940088,32,0,Warning
AI4I,299.36320201597357,309.3818926507096,1638.482437377883,32.602396022539075,55,0.4344578697849942,31,0,Warning
AI4I,298.9931537226354,311.07109980513036,1360.3009357216272,42.258596115433754,58,0.5105534326331743,30,0,Warning
AI4I,299.3232379442544,307.1331001183326,1458.5780448562484,44.3319489591352,63,0.48651627774138795,29,0,Warning
AI4I,302.0563780377114,310.90967636640863,1585.1480153452362,30.77078723502115,65,0.44119506949932463,28,0,Warning
AI4I,301.56460358344924,311.2834390000792,1760.5361031869325,25.382878235350287,68,0.40424041119458926,27,0,Warning
AI4I,300.1229037024459,310.1151416910326,1571.8032521454581,37.18026645159586,70,0.46362726454059533,26,0,Warning
AI4I,295.7679664232795,308.9232978128987,1859.014569222882,23.210045054346732,73,0.37221471079737695,25,0,Warning
AI4I,299.09414316135394,309.47361971377967,1501.5670077920895,38.72149927454823,75,0.47314998039772505,24,0,Warning
AI4I,299.49637989922604,306.5567513547205,1810.0199744394997,24.498017435401938,77,0.36874293718177503,23,0,Warning
AI4I,298.59809824370103,307.97860245465415,1443.968362533995,43.9053253330407,82,0.49110219339107275,22,0,Warning
AI4I,297.2837591286625,305.9803279555625,1685.2082259915812,30.03604047334005,84,0.4000823561831306,21,0,Warning
AI4I,302.37112663911006,310.7710520225642,1333.552605462797,48.219990317527085,86,0.5353592837099099,20,0,Warning
AI4I,298.8515571153195,311.0855407526313,1789.7630473655768,25.758938122072024,89,0.4016911091953378,19,0,Warning
AI4I,296.943329592345,310.060722831648,1422.7190298803594,48.19460977472186,91,0.52228209514884,18,0,Warning
AI4I,300.2627936509036,308.8401707155104,1659.070683180094,32.21135002928,93,0.4277393073163129,17,0,Warning
AI4I,298.07064611519075,306.1434584588609,1557.7530958944037,34.61380402413283,95,0.4320710977005818,16,0,Warning
AI4I,298.9721750319993,309.9631787495264,1449.0705520494073,49.00929034335743,98,0.5223482704514969,15,1,Critical
AI4I,299.8519503539686,311.21576666117176,1588.8112370170368,36.36535278693621,101,0.4649560969384512,14,1,Critical
AI4I,298.8272708780249,311.36555397067235,1443.9386625036948,39.4791801267248,104,0.4927545912318003,13,1,Critical
AI4I,295.78880972140655,308.6088689165196,1370.5414788896255,50.63300971514899,106,0.528957141923174,12,1,Critical
AI4I,299.4446221012457,307.6224707178482,1341.946896092378,52.95176410901813,111,0.5354550566431102,11,1,Critical
AI4I,298.9081398714505,308.69522641004403,1359.6344202432183,45.46054001998756,113,0.5098514403987372,10,1,Critical
AI4I,296.7452280034038,310.79002868729816,1383.348165030131,50.72351809845836,115,0.5405022769610955,9,1,Critical
AI4I,299.46636295680815,310.74818224066104,1362.214402506062,49.06393847105652,117,0.5357382121516829,8,1,Critical
AI4I,297.5434997751451,307.62032058421477,1380.382703541783,48.35456664226579,120,0.513210399553255,7,1,Critical
AI4I,297.8957108173168,307.1598000806489,1470.0304128584337,47.429050056274946,125,0.4979120165429644,6,1,Critical
AI4I,297.57577415186256,304.2212096164063,1482.1092728895187,49.22832410411844,128,0.4871092812212724,5,1,Critical
AI4I,299.37751256146873,309.33163127579655,1839.2207291090508,25.475603913033474,130,0.3855896643172091,4,1,Critical
AI4I,300.0001369630701,311.01582708561523,1419.687682643491,46.08447056181531,133,0.5196024116149992,3,1,Critical
AI4I,297.1448296477801,308.18605626155204,1407.6879977792303,54.080145956620754,135,0.5366149626860002,2,1,Critical
AI4I,300.22487423590616,307.34521053076276,1406.5114302802951,44.16472867200561,140,0.4922661175500659,1,1,Critical
AI4I,299.7818853437044,309.77024934463765,2845.5213422082443,4.625779609068089,143,0.20406669475623448,0,1,Critical
AI4I,299.6404000216455,307.78405591575347,1382.9906729811862,54.50427422689202,145,0.538484063413755,18,0,Warning
AI4I,299.5600194025809,308.0078301369616,1486.5033915279828,43.55799538894563,147,0.48562638604276487,17,0,Warning
AI4I,300.99351632393564,306.947797592188,1571.4286472199287,34.97431674667,152,0.43674181707719006,16,0,Warning
AI4I,297.9849023424009,309.96982604960533,1677.9082601907012,30.16346638447401,154,0.42411918837371354,15,1,Critical
AI4I,297.5134664860331,310.51223253033316,1519.9468470253867,40.691555571145585,156,0.48512715204109036,14,1,Critical
AI4I,297.4662860605222,311.72503627799864,1474.16286381551,42.59047951625733,158,0.504231553272042,13,1,Critical
AI4I,298.79523743125145,308.3562092365578,1500.7781961948926,40.35876942850563,160,0.4733927394462921,12,1,Critical
AI4I,297.9009733255292,309.31608279448585,1652.7903580933644,29.400177368428956,162,0.4198421467757272,11,1,Critical
AI4I,298.53137924724547,309.3137802449847,1383.4579555435937,53.916487590529776,165,0.5448274704933865,10,1,Critical
AI4I,301.87858394150965,307.8897685539072,1409.865417078266,52.6663726834353,167,0.5290490550482413,9,1,Critical
AI4I,300.561295114507,308.4246220069355,1587.2621011686688,38.57986109080513,169,0.45801964571455667,8,1,Critical
AI4I,298.55429214997395,308.2755897868438,1823.9611973058045,22.78658485254105,172,0.3703250184615483,7,1,Critical
