Source,Air_Temperature,Process_Temp,Rotational_Speed,Torque,Life_Consumed,Stress_Index,RUL,Is_Failure,Health_Status,PC1,PC2,PC3,Cluster,Health_Regime
AI4I,299.2284190881174,306.89915704049463,1559.2195878224336,43.187703445985335,0,0.4705383238045245,50,0,Warning,-2.4053916397307553,-1.5632436240098748,0.6212248639357315,2,Critical
AI4I,296.7590794851687,307.72919125958765,1405.9903807237542,46.88968753653781,3,0.5054122335571338,49,0,Warning,-2.4231064733704697,-1.4846087342705792,1.2613298153633017,2,Critical
AI4I,298.0185491692923,309.17586811849327,1509.3244452813888,49.23700956735938,5,0.5127348401326888,48,0,Warning,-2.1675291537482413,-1.4445516362441824,1.4889986442082366,2,Critical
AI4I,299.1831728801619,308.5533516314479,1425.9939730550443,39.545598579905366,7,0.4787450063366766,47,0,Warning,-2.7558761015084494,-1.4770088338517011,0.23422586798452613,2,Critical
AI4I,300.7090867358578,308.9541297211372,1400.229354594371,40.09745622196742,9,0.4858190592635022,46,0,Warning,-2.755290813568987,-1.4422085139264884,0.3296746144818914,2,Critical
AI4I,300.30442612949463,309.5196596562076,1424.681656121477,41.85022748982297,11,0.4936165138111875,45,0,Warning,-2.6368455237240096,-1.40176237595335,0.5465571008302609,2,Critical
AI4I,297.7032300429755,309.0197659390988,1559.7060960019494,42.28933588574118,14,0.479013967880477,44,0,Warning,-2.451300061065182,-1.3613922073846276,0.4875018968185822,2,Critical
AI4I,296.2809336999292,308.7652228391069,1531.7589744252934,40.32782673204156,16,0.4725081114233906,43,0,Warning,-2.5901577561958904,-1.3435254341512735,0.24314313557215134,2,Critical
AI4I,297.73387992364445,309.32648663047064,1656.1342032934197,28.43035575955076,18,0.4156879263115504,42,0,Warning,-3.0214871505793712,-1.4026207029708877,-1.4962165310122835,0,Degraded
AI4I,299.7762760423159,311.09073514426984,1737.2554132952246,28.076718367414,21,0.4162426758216755,41,0,Warning,-2.926504638076627,-1.3651328305198591,-1.6198789166764347,0,Degraded
AI4I,299.1106442526984,308.7188662356874,1778.1581982367318,23.819547605245056,24,0.381570177658378,40,0,Warning,-3.0915990702768856,-1.352013212522786,-2.2396475314871105,0,Degraded
AI4I,300.2796755230178,309.21302183028587,1415.1657009283856,44.19853505753972,29,0.5022091234532395,39,0,Warning,-2.5294524413274595,-1.1176807802217013,0.8620151863305172,2,Critical
AI4I,299.41787307642204,309.65865984005984,1334.163122232904,51.16947254906905,34,0.5407396342018992,38,0,Warning,-2.285662021009234,-0.9909355206203103,1.8832750227005266,2,Critical
AI4I,297.3009146163133,309.83346378969367,1726.1506463663654,30.12882685630052,37,0.4183771787296723,37,0,Warning,-2.845531972143642,-1.1125089888391524,-1.340159656824147,0,Degraded
AI4I,299.4984461644374,310.8262019948307,2038.8065515320836,19.906068599914036,40,0.3518933449311945,36,0,Warning,-2.949244756886163,-1.1556446865840886,-3.017145851820646,0,Degraded
AI4I,298.9021485400099,310.59038964466976,1544.8416019099254,48.57304771740724,42,0.5146102572196065,35,0,Warning,-2.1463867065064695,-0.9015137627759884,1.336948748980594,2,Critical
AI4I,298.146685942797,309.30788371747724,1323.080526932082,46.756993499476415,44,0.5221935425474247,34,0,Warning,-2.524315228326307,-0.8720241543526464,1.2824364289031334,2,Critical
